0.154,  0.1526, 0.1725, 0.1711, 0.1733
0.2934, 0.2833, 0.2984, 0.2831, 0.267
0.3226, 0.3506, 0.3215, 0.3583, 0.3568
0.388,  0.3624, 0.4234, 0.4063, 0.4087
0.4319, 0.4082, 0.413,  0.4525, 0.3734
0.4618, 0.461,  0.4711, 0.4581, 0.4655
0.4858, 0.4768, 0.4508, 0.4471, 0.4785
0.4728, 0.486,  0.4413, 0.5118, 0.5068
0.4925, 0.5158, 0.4732, 0.4963, 0.5271
0.5186, 0.489,  0.5549, 0.4973, 0.501
0.4966, 0.506,  0.4893, 0.4583, 0.5282
0.5196, 0.5352, 0.5107, 0.5356, 0.5398
0.5486, 0.5565, 0.5501, 0.5556, 0.5271
0.5879, 0.5679, 0.5354, 0.5829, 0.5568
0.5735, 0.5577, 0.5188, 0.4997, 0.5571
0.5481, 0.5705, 0.6021, 0.5373, 0.5827
0.5723, 0.5497, 0.5413, 0.5611, 0.5609
0.5505, 0.544,  0.5044, 0.572,  0.5426
0.586,  0.5617, 0.5734, 0.6025, 0.5772
0.5935, 0.5777, 0.5545, 0.5993, 0.591
0.5998, 0.5608, 0.5859, 0.5463, 0.5925
0.5086, 0.564,  0.578,  0.5131, 0.6028
0.6016, 0.5644, 0.5692, 0.5577, 0.5876
0.5866, 0.5463, 0.5685, 0.5855, 0.5868
0.5882, 0.6132, 0.5643, 0.5977, 0.5831
0.6012, 0.566,  0.5785, 0.5327, 0.6201
0.5939, 0.5849, 0.5878, 0.6032, 0.6067
0.6085, 0.5771, 0.5122, 0.5677, 0.5828
0.5742, 0.5926, 0.6003, 0.5659, 0.5918
0.5858, 0.5664, 0.5674, 0.6159, 0.5833
0.6081, 0.6066, 0.5762, 0.6186, 0.5969
0.5643, 0.5553, 0.5868, 0.5852, 0.602
0.5908, 0.6133, 0.6178, 0.6299, 0.5842
0.59,   0.5987, 0.6189, 0.5589, 0.5869
0.6133, 0.5989, 0.6055, 0.594,  0.5941
0.5952, 0.4894, 0.6038, 0.5604, 0.5931
0.6044, 0.6117, 0.6012, 0.5828, 0.6075
0.5832, 0.5582, 0.6055, 0.5961, 0.5515
0.6184, 0.5942, 0.5821, 0.6119, 0.5554
